,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,META,NFLX,JPM,BAC,GS,MS,C,V,MA,PYPL,JNJ,PFE,MRK,UNH,ABBV,WMT,COST,PG,KO,PEP,MCD,TGT,XOM,CVX,COP,BA,CAT,GE,MMM,DIS,CMCSA,T,VZ,ORCL,ADBE,CRM,INTC,AMD
GS,0.5192384428984683,0.5244065427460739,0.4555131569034354,0.5916725963207187,0.5509945948824885,0.5368338451112444,0.548036240589949,0.4406625688415932,0.8785066340803626,0.8252898673805874,1.0,0.9289792958924011,0.8554525795351086,0.6199575907292967,0.6182630366675179,0.5585645723860233,0.037050931151766206,0.17773451121515868,0.1234748957619309,0.03260106466773266,0.1915068350109799,0.4090962250082335,0.35466313687561013,0.05302730210374693,-0.0008592607589689527,0.05678762731994123,0.10181902478640142,0.3163758384253956,0.3871604000801991,0.45382907800265165,0.4893313208344791,0.4417690686344777,0.7203295170744581,0.6043686898139637,0.6640932515822674,0.6204303033760176,0.4311213859121729,0.14862889480826172,0.015286371156233262,0.4031840723241744,0.44074942323137845,0.5129705970320324,0.38410920880269017,0.47701155206031814
MS,0.5023353441777672,0.5067967472771319,0.4318944237612008,0.5744930581117443,0.522159123286451,0.5471098145759475,0.5257894740709715,0.43252229326425684,0.8538104407443596,0.8361328779721015,0.9289792958924011,1.0,0.8523705017871779,0.6208618148904439,0.5981090196150936,0.5583119728307134,0.027008102880977696,0.18263170484577307,0.11259939186714686,0.03096723584650262,0.14237005918977802,0.41433705488995703,0.3321930404081582,0.030498417332375613,0.018152181881151905,0.05322386594320715,0.08627456956894687,0.3095300310038719,0.3680300914055977,0.4313149621441496,0.4769096676931758,0.46051227886387175,0.6864314975303037,0.562452539140253,0.6365237556272798,0.6157941945376747,0.43326208960045776,0.15410908741131205,0.010634737748432637,0.38352749853103085,0.41096673183700727,0.5198395630460149,0.35229378963422503,0.45670818208033825
C,0.5041720918972726,0.453880759006177,0.4088324375680594,0.5585038807022262,0.46521394177121156,0.4934159639898664,0.5289154081044148,0.3782716571812573,0.8126976060201321,0.8401007221487226,0.8554525795351086,0.8523705017871779,1.0,0.5809033970410727,0.5796141040371452,0.5741269012711379,0.017751388368817875,0.17542594790550134,0.11456535091622454,0.0747532594307502,0.18490001978982937,0.3915143431138424,0.28976812049176687,0.07642992539494099,0.02887044144962655,0.08865671634746097,0.11962102515495326,0.36339674659242094,0.3761802136792754,0.4251795551700969,0.46914769942497786,0.4864986905227703,0.6645714081234345,0.5310509702209653,0.6142160607417126,0.6189373639766876,0.39209263158529334,0.13942705803004626,-0.015897529758587648,0.3202603962427833,0.39237444530641347,0.44187303164251673,0.3361173605376803,0.454293100413572
V,0.4904915813270381,0.3576153587316621,0.34296013677413334,0.44161498532636606,0.3992838276986942,0.3133713954092755,0.3911061736205909,0.37266347767295,0.6287146225413293,0.5753264015555132,0.6199575907292967,0.6208618148904439,0.5809033970410727,1.0,0.8945556653034173,0.5501437015212927,0.278749908921672,0.3248321344642985,0.26114504663884525,0.17315857590338352,0.33079977616800244,0.44610175022423887,0.4174597197236691,0.3583717070970245,0.297754841080561,0.2579232960876891,0.3588114942436718,0.2989890321880102,0.33899964093737234,0.38042674509718927,0.3728536762878088,0.43110041248960196,0.4801243750452636,0.5239915633075849,0.5987635244641013,0.5472873288543032,0.4300139926630851,0.33668560062710673,0.2968550935452315,0.19263857496162898,0.39185006339291933,0.44487808414604557,0.29524128831666474,0.31580061654261943
MA,0.5108352653002938,0.41716008613890576,0.3264885933654149,0.4620409193061531,0.35162423679089766,0.2900723014456875,0.46456872694504137,0.37056975372357676,0.6137873752596138,0.5939321504964797,0.6182630366675179,0.5981090196150936,0.5796141040371452,0.8945556653034173,1.0,0.5549944730648119,0.27350163654327947,0.32267886601376583,0.2662583808605369,0.09380204837351584,0.31334813423263563,0.4935798019910919,0.4601121362880199,0.40662761867386027,0.3256228581417199,0.2613081954060209,0.34081776712550255,0.3220701454041352,0.3315584403460297,0.4048892571653092,0.3532332988469607,0.4640386246654246,0.48648668275665413,0.5300366561839568,0.6162360780472914,0.566428602437283,0.38864279462420864,0.34150776678514716,0.28000386835277347,0.22028085177017936,0.43105454554294104,0.44823384540961947,0.2954828025211935,0.30986610281232324
PYPL,0.46101677324211043,0.37367371523660003,0.31346031351317694,0.4676439264904907,0.4164695686793523,0.3442507921084653,0.4520723123829732,0.3216938416727188,0.48717732475573766,0.5230087226872006,0.5585645723860233,0.5583119728307134,0.5741269012711379,0.5501437015212927,0.5549944730648119,1.0,0.006700238047294384,0.1965935993018863,0.26004978269598966,0.11512641021649463,0.0791803241696973,0.33863949144063066,0.26111448936517584,0.17458992732531733,0.038231198299189265,0.2037678776646032,0.15868962713167092,0.33167412646465455,0.21503791998302968,0.2580575191011043,0.3143390207125473,0.4048669035646903,0.5109902704377154,0.3931822809980728,0.48235969569725984,0.5227603401243118,0.3301440869515139,0.08640010117754901,0.046858727942666316,0.18859511453599054,0.4533602998629026,0.555217446185749,0.2688076794185701,0.4159451255792848
JNJ,0.07874549813326896,-0.1428707808721885,-0.1334593671496675,-0.16794859923461644,-0.05831741638400595,-0.26974602141861165,-0.17420191509635727,-0.09443641823029437,0.09047977108758179,0.05069336376836726,0.037050931151766206,0.027008102880977696,0.017751388368817875,0.278749908921672,0.27350163654327947,0.006700238047294384,1.0,0.4638516824952095,0.4588034381097525,0.1032538239584241,0.4127626380146333,0.1287075170901895,0.1697315028961217,0.46016296935336926,0.44540082002268777,0.4104790235396875,0.30529969236672627,0.12619665266084104,0.18664818734215527,0.15857200267953467,0.09551730225401697,-0.0039164016307890745,0.05971708624633661,0.023314729614475102,0.1411663704636407,0.14053314309438783,0.19618661422952388,0.32965454439555203,0.44423788501341366,-0.12546589053891505,0.022516630929379645,-0.06115312817356176,0.07390007814541129,-0.06357949739849462
PFE,0.2825010736102705,0.07038404487539388,0.03745641744606665,0.10055602625755718,0.10401066043149225,0.0501042070324141,0.06436764183691632,-0.040834361358126924,0.14621426916529415,0.20332375829570515,0.17773451121515868,0.18263170484577307,0.17542594790550134,0.3248321344642985,0.32267886601376583,0.1965935993018863,0.4638516824952095,1.0,0.6771908549427111,0.085663493824996,0.5913499278599843,0.13725083743668048,0.14382848742533774,0.3068583837054705,0.3413028611940678,0.42124301730127073,0.2223430236383389,0.34591418114487155,0.25215355000784073,0.3016340430832603,0.25944400145360264,0.18499927936278196,0.27423444287011545,0.13486707225450145,0.3609959135632521,0.2088624309134348,0.23032510293397324,0.19808794353073297,0.34670602982477006,0.08295127413542912,0.14417429087922112,0.10811639023043533,0.22596656082548178,0.06220285137007805
MRK,0.20740291259643695,0.06367668546534039,-0.0002333284623375535,0.07622425980868205,0.08352948427930479,-0.014499328529272621,0.06429682686139986,-0.09644166981020522,0.10918084486249202,0.13302581146030035,0.1234748957619309,0.11259939186714686,0.11456535091622454,0.26114504663884525,0.2662583808605369,0.26004978269598966,0.4588034381097525,0.6771908549427111,1.0,0.13103073627684053,0.5761719933050471,0.0811747146528786,0.11285359870289721,0.3764226059965907,0.288364766810212,0.47161967226789947,0.22781564720899933,0.23917493637995133,0.1791028145605908,0.21021094497737616,0.21355143906709043,0.1353756488274133,0.17900688869135786,0.09756094668524573,0.28267522255909067,0.1896986828558233,0.17681812811742262,0.12577360723356407,0.22398635466924166,0.04350043854248444,0.057806215765409764,0.0772267303105774,0.1630628408401281,0.07010083860127464
UNH,0.01430991749007119,0.015315065716270266,0.08637909911646101,0.06517435347496893,0.03306892433341182,0.03473164654596819,-2.3148394109827522e-05,-0.0355584945474004,0.0561255909214435,0.0578089181982123,0.03260106466773266,0.03096723584650262,0.0747532594307502,0.17315857590338352,0.09380204837351584,0.11512641021649463,0.1032538239584241,0.085663493824996,0.13103073627684053,1.0,0.029555038381593277,0.02434966368111,0.059073372927479356,0.015114003591184852,-0.010491166763011468,0.05925094247845589,0.1258416846593049,-0.023467405383626638,0.013698094970112814,0.07184576685803898,0.024238511946920657,0.006184399041479311,0.04349124090271198,0.08241472468361913,0.13071358775818137,0.0161829741237229,0.08199170259409191,0.08909070618143893,0.09048929509586376,0.03714649737309219,0.09091081026046804,0.16222437972150572,0.08545905631287413,0.044183639550812816
ABBV,0.23867031113019602,0.12033681241823624,0.015549708322181784,0.10776553427420046,0.06774929896430526,0.03151416175106995,0.13502409486073375,0.012334664138983195,0.1824952424918861,0.18648634846099305,0.1915068350109799,0.14237005918977802,0.18490001978982937,0.33079977616800244,0.31334813423263563,0.0791803241696973,0.4127626380146333,0.5913499278599843,0.5761719933050471,0.029555038381593277,1.0,0.19094411242523723,0.2022247595825718,0.3476980550566276,0.322120589714527,0.3682213457775357,0.22428920826850818,0.17093398509069732,0.22655496282209714,0.2696497260484388,0.2809961620690997,0.12108743501470781,0.23755793165501068,0.1901103627206728,0.3398916781849263,0.19127001110932837,0.2531622494525909,0.25752147882012244,0.2975135453204913,0.08212576261279293,0.09837900213723282,0.0020034189452599886,0.21572408373389604,0.06030885505926102
WMT,0.45864508536961107,0.3461950847856603,0.22862521722518497,0.3781064345290777,0.31394917455694493,0.21158270684509037,0.3896074675259976,0.36240618344238335,0.42668161683897243,0.3906803072545565,0.4090962250082335,0.41433705488995703,0.3915143431138424,0.44610175022423887,0.4935798019910919,0.33863949144063066,0.1287075170901895,0.13725083743668048,0.0811747146528786,0.02434966368111,0.19094411242523723,1.0,0.7006605731506002,0.3691876326113423,0.29023085629115253,0.15028615498258874,0.2892295979203016,0.2801137740103246,0.10317000061576344,0.16372354247608337,0.1664118987235206,0.3801204597639005,0.2571095888085154,0.3918581294641062,0.3791363474338016,0.34048646377531544,0.23908025571437774,0.27295158319152585,0.15252892903474566,0.11131953377276452,0.25495990597686485,0.31395095527646094,0.12966637524622301,0.21403703723225434
COST,0.3897711041930054,0.32520629089445846,0.17712826326005474,0.3136174890724627,0.35126708834640946,0.1691184110816281,0.4201505067177649,0.3958523797466181,0.33907002411254916,0.27992829309664546,0.35466313687561013,0.3321930404081582,0.28976812049176687,0.4174597197236691,0.4601121362880199,0.26111448936517584,0.1697315028961217,0.14382848742533774,0.11285359870289721,0.059073372927479356,0.2022247595825718,0.7006605731506002,1.0,0.39374812097351836,0.32802372384814366,0.24919588629870082,0.2903455921857455,0.19918939917280137,0.10926018218082172,0.1446982815976838,0.09807717949531763,0.303610391008004,0.16963198075147798,0.38360508549199823,0.3507852458946915,0.25085784165906416,0.20045897316338906,0.2771487552569948,0.12271403463776948,0.09798521571771397,0.31729990689544263,0.35307691233234256,0.10301711376503656,0.1594349929125515
PG,0.2457525989654846,-0.001896551903876725,-0.0728189672766164,-0.005208490422862522,0.049260603714951,-0.1803352702112064,-0.03934459076878,0.029114497826401044,0.12720355009936937,0.11978975717920147,0.05302730210374693,0.030498417332375613,0.07642992539494099,0.3583717070970245,0.40662761867386027,0.17458992732531733,0.46016296935336926,0.3068583837054705,0.3764226059965907,0.015114003591184852,0.3476980550566276,0.3691876326113423,0.39374812097351836,1.0,0.6119094916974851,0.5890426398303299,0.4491141140151334,0.18016447004504263,0.18254822931526893,0.1766876756493695,0.08782455479621354,0.12138924107890461,0.03777243062066035,0.1304524219164016,0.26254154409177166,0.17995644467992647,0.25286912410868,0.35061960911170553,0.46115511108625534,-0.09771863178794524,0.10731773249317457,0.071075374540086,0.10494885899535683,-0.0554211017775496
KO,0.1347589126554537,-0.0830436864513882,-0.11774790308180758,-0.15144673963677083,-0.07835484987491556,-0.1911270116210789,-0.08012086479065667,0.06383756048124219,0.06174935157589274,0.011160248623774927,-0.0008592607589689527,0.018152181881151905,0.02887044144962655,0.297754841080561,0.3256228581417199,0.038231198299189265,0.44540082002268777,0.3413028611940678,0.288364766810212,-0.010491166763011468,0.322120589714527,0.29023085629115253,0.32802372384814366,0.6119094916974851,1.0,0.6212953660420958,0.4938544520019088,0.05005850908540373,0.15054188079374833,0.13930375227278105,0.0324235145784887,0.05530505868331188,-0.061475314603183714,0.0888097308369501,0.16374094135371994,0.04969153992594459,0.17008038771237965,0.38822543669226217,0.46259230766611426,-0.0771734066015329,0.05081509297772672,-0.06100655153745553,0.09993172292393465,-0.06505814433607073
PEP,0.22919340993755957,-0.03751851642693008,-0.10027793932987221,-0.0296183653179189,-0.007738527299572973,-0.1251577624394536,-0.05532632298397378,-0.026544310279287824,0.07361778161062825,0.0736298078042065,0.05678762731994123,0.05322386594320715,0.08865671634746097,0.2579232960876891,0.2613081954060209,0.2037678776646032,0.4104790235396875,0.42124301730127073,0.47161967226789947,0.05925094247845589,0.3682213457775357,0.15028615498258874,0.24919588629870082,0.5890426398303299,0.6212953660420958,1.0,0.4325535399932739,0.2292151265143598,0.19153569330388898,0.20290777995120743,0.1526140146733003,0.04316085431838324,0.12389189982269129,0.021014878047222508,0.2227913462136568,0.1395457234663185,0.23711119182473364,0.24844159535009533,0.37686215215867214,-0.00878962177663459,0.12074085840832278,0.04932608537641046,0.1967620912274297,-0.014530592242262781
MCD,0.25814839126017236,0.0368782951035316,0.04691819495237186,0.09715747858790898,0.04920895558909684,-0.05873444529619227,0.031002198823868253,0.11825315456967217,0.13220619320203938,0.12266804480624652,0.10181902478640142,0.08627456956894687,0.11962102515495326,0.3588114942436718,0.34081776712550255,0.15868962713167092,0.30529969236672627,0.2223430236383389,0.22781564720899933,0.1258416846593049,0.22428920826850818,0.2892295979203016,0.2903455921857455,0.4491141140151334,0.4938544520019088,0.4325535399932739,1.0,0.10259919534082018,0.16408580980449997,0.17210120003856513,0.06685623652187854,0.08555145772289793,0.12870083732849885,0.1399660101282673,0.28291402870333016,0.10845743107171772,0.23284616635848907,0.3330913758480101,0.37330884368691086,-0.0672411247146975,0.19242186832856548,0.08772477295100947,0.043025133161854114,-0.02787966692102582
TGT,0.41539996373380367,0.1865226277412631,0.2337678077644623,0.37548129053411367,0.25574493955624134,0.15903125713778596,0.27860302932602937,0.052399295249641424,0.2849700212380485,0.3540888952759119,0.3163758384253956,0.3095300310038719,0.36339674659242094,0.2989890321880102,0.3220701454041352,0.33167412646465455,0.12619665266084104,0.34591418114487155,0.23917493637995133,-0.023467405383626638,0.17093398509069732,0.2801137740103246,0.19918939917280137,0.18016447004504263,0.05005850908540373,0.2292151265143598,0.10259919534082018,1.0,0.20698032775087766,0.2579313129933197,0.32077873428301756,0.31402520796079547,0.3764385368625984,0.16354105868146776,0.33278663436164296,0.35131965435845375,0.20156191655061545,0.017870367457251537,0.05330254230968783,0.11173746243265949,0.2875032240245692,0.2338871174460985,0.22787686071725655,0.23724633998451206
XOM,0.36744649507395327,0.17325512864912773,0.1381489737792213,0.24762338169925038,0.18579150954984244,0.19962324091720954,0.19402983719774106,0.12043911660827761,0.3773800738514809,0.397345106554953,0.3871604000801991,0.3680300914055977,0.3761802136792754,0.33899964093737234,0.3315584403460297,0.21503791998302968,0.18664818734215527,0.25215355000784073,0.1791028145605908,0.013698094970112814,0.22655496282209714,0.10317000061576344,0.10926018218082172,0.18254822931526893,0.15054188079374833,0.19153569330388898,0.16408580980449997,0.20698032775087766,1.0,0.8338740672847685,0.8078189218022462,0.250873080657399,0.40583353454191506,0.27179293214047817,0.4226410295193366,0.39859984036030865,0.34374289468556624,0.1821679675497627,0.1882617655169696,0.16765355427119866,0.22248607807085818,0.15810776807512053,0.2726827051411469,0.32642441410500506
CVX,0.4276435692775905,0.2591628875551069,0.18331633097858002,0.3226235189722582,0.24151602281900156,0.293133438587682,0.2676966268208157,0.10799001216704404,0.4351613249298874,0.45920765865053276,0.45382907800265165,0.4313149621441496,0.4251795551700969,0.38042674509718927,0.4048892571653092,0.2580575191011043,0.15857200267953467,0.3016340430832603,0.21021094497737616,0.07184576685803898,0.2696497260484388,0.16372354247608337,0.1446982815976838,0.1766876756493695,0.13930375227278105,0.20290777995120743,0.17210120003856513,0.2579313129933197,0.8338740672847685,1.0,0.8102210962176469,0.3402438378570205,0.46222322129968163,0.33443453198371803,0.4661172575326937,0.46488561210401086,0.3486295012201536,0.19099587742108845,0.20026089160940674,0.2141616892979349,0.24815481852946794,0.22065563663627746,0.3371008598282853,0.33885899976032086
COP,0.4292206974471415,0.2454049554985179,0.2124564091661151,0.37545152054352426,0.3209011855379967,0.3291042084371794,0.2997674770159457,0.18592511146980598,0.4559218358881405,0.4879520329274451,0.4893313208344791,0.4769096676931758,0.46914769942497786,0.3728536762878088,0.3532332988469607,0.3143390207125473,0.09551730225401697,0.25944400145360264,0.21355143906709043,0.024238511946920657,0.2809961620690997,0.1664118987235206,0.09807717949531763,0.08782455479621354,0.0324235145784887,0.1526140146733003,0.06685623652187854,0.32077873428301756,0.8078189218022462,0.8102210962176469,1.0,0.35354208334978793,0.48260926430904727,0.349271673265026,0.5000044526273798,0.4858856468503558,0.3879358722346371,0.10125144856815237,0.08630692074728305,0.26879976881914935,0.24623049070417274,0.2433566551330509,0.3103701879710869,0.3363634667540926
BA,0.4583996973955854,0.37791271183433944,0.35662927021826085,0.4715979024894086,0.3857010856645203,0.385703194482672,0.4700086695011237,0.3388836362486944,0.43420875553547045,0.4283373459309706,0.4417690686344777,0.46051227886387175,0.4864986905227703,0.43110041248960196,0.4640386246654246,0.4048669035646903,-0.0039164016307890745,0.18499927936278196,0.1353756488274133,0.006184399041479311,0.12108743501470781,0.3801204597639005,0.303610391008004,0.12138924107890461,0.05530505868331188,0.04316085431838324,0.08555145772289793,0.31402520796079547,0.250873080657399,0.3402438378570205,0.35354208334978793,1.0,0.3811640487196699,0.48662361208308363,0.424825746959891,0.4368728478288569,0.1750944014782563,0.01744905651843484,-0.0699436748615638,0.20076008717394708,0.2195378580469694,0.35020102552734517,0.29145217791445865,0.4151296605433074
CAT,0.4759107961634549,0.5336680929190902,0.39324109831123005,0.5531421213553502,0.4242051249513967,0.4920681298107369,0.45876604689036204,0.25550163371448675,0.6624099932738756,0.6265901097865344,0.7203295170744581,0.6864314975303037,0.6645714081234345,0.4801243750452636,0.48648668275665413,0.5109902704377154,0.05971708624633661,0.27423444287011545,0.17900688869135786,0.04349124090271198,0.23755793165501068,0.2571095888085154,0.16963198075147798,0.03777243062066035,-0.061475314603183714,0.12389189982269129,0.12870083732849885,0.3764385368625984,0.40583353454191506,0.46222322129968163,0.48260926430904727,0.3811640487196699,1.0,0.48889512532015034,0.643712263701954,0.5444651896562706,0.4292375001144529,0.029769161249135617,0.10172222345531605,0.4069312980099224,0.4387323677667359,0.44322653117657673,0.3739100748880255,0.48496519780498665
GE,0.38825449804239043,0.41902540221879747,0.3496325792400243,0.4285434085926271,0.35490185666016627,0.4733800981033762,0.4609278895744835,0.4621014663963956,0.5600762166441993,0.5025861039968822,0.6043686898139637,0.562452539140253,0.5310509702209653,0.5239915633075849,0.5300366561839568,0.3931822809980728,0.023314729614475102,0.13486707225450145,0.09756094668524573,0.08241472468361913,0.1901103627206728,0.3918581294641062,0.38360508549199823,0.1304524219164016,0.0888097308369501,0.021014878047222508,0.1399660101282673,0.16354105868146776,0.27179293214047817,0.33443453198371803,0.349271673265026,0.48662361208308363,0.48889512532015034,1.0,0.5520719586008436,0.4109962620389898,0.1870932551808543,0.21345799475335062,0.15336008662124612,0.3726921995333464,0.33324686486635346,0.3825793444903367,0.2942931614109181,0.4085394700393421
